id,name,level,parent,lineage,isActive,metadesc,metakeywords
2511,Calibrator,2,2245,/2245/2511/,1,NULL,NULL
2512,Controller,2,2245,/2245/2512/,1,NULL,NULL
2513,Coriolis,2,2245,/2245/2513/,1,NULL,NULL
2514,D Pressure Type,2,2245,/2245/2514/,1,NULL,NULL
2515,Meters,2,2245,/2245/2515/,1,NULL,NULL
2516,Rotometers,2,2245,/2245/2516/,1,NULL,NULL
2517,Wet Gas,2,2245,/2245/2517/,1,NULL,NULL
2518,Box,2,2247,/2247/2518/,1,NULL,NULL
2519,Controllers,2,2247,/2247/2519/,1,NULL,NULL
2520,Crucible,2,2247,/2247/2520/,1,NULL,NULL
2521,Fluid Bed,2,2247,/2247/2521/,1,NULL,NULL
2522,Kilns,2,2247,/2247/2522/,1,NULL,NULL
2523,Melting,2,2247,/2247/2523/,1,NULL,NULL
2524,Muffle,2,2247,/2247/2524/,1,NULL,NULL
2525,Power Supply,2,2247,/2247/2525/,1,NULL,NULL
2526,Retorts,2,2247,/2247/2526/,1,NULL,NULL
2527,Supplies,2,2247,/2247/2527/,1,NULL,NULL
2528,Tube,2,2247,/2247/2528/,1,NULL,NULL
2529,Vacuum,2,2247,/2247/2529/,1,NULL,NULL
2530,Ceramic Band,2,2249,/2249/2530/,1,NULL,NULL
2531,Furnace,2,2249,/2249/2531/,1,NULL,NULL
2532,Other Types,2,2249,/2249/2532/,1,NULL,NULL
2533,Tape,2,2249,/2249/2533/,1,NULL,NULL
2534,Cord,2,2250,/2250/2534/,1,NULL,NULL
2535,Exchangers,2,2250,/2250/2535/,1,NULL,NULL
2536,Heat Guns,2,2250,/2250/2536/,1,NULL,NULL
2537,Heating Mantle,2,2250,/2250/2537/,0,NULL,NULL
2538,Heating Mantles,2,2250,/2250/2538/,1,NULL,NULL
2539,Immersion,2,2250,/2250/2539/,1,NULL,NULL
2540,Mantles,2,2250,/2250/2540/,1,NULL,NULL
2541,Oil Baths,2,2250,/2250/2541/,1,NULL,NULL
2542,Tape,2,2250,/2250/2542/,1,NULL,NULL
2543,Biological,2,2251,/2251/2543/,1,NULL,NULL
2544,Biosafety,2,2251,/2251/2544/,1,NULL,NULL
2545,Blowers,2,2251,/2251/2545/,1,NULL,NULL
2546,Ductless,2,2251,/2251/2546/,1,NULL,NULL
2547,Exhaust,2,2251,/2251/2547/,1,NULL,NULL
2548,Fume,2,2251,/2251/2548/,1,NULL,NULL
2549,Gas Cabinets,2,2251,/2251/2549/,1,NULL,NULL
2550,Laminar Flow,2,2251,/2251/2550/,1,NULL,NULL
2551,Safety Hoods,2,2251,/2251/2551/,1,NULL,NULL
2552,Autopsy,2,2252,/2252/2552/,0,NULL,NULL
2553,BOD,2,2253,/2253/2553/,1,NULL,NULL
2554,Chilling,2,2253,/2253/2554/,1,NULL,NULL
2555,CO2,2,2253,/2253/2555/,1,NULL,NULL
2556,Enviromental,2,2253,/2253/2556/,1,NULL,NULL
2557,Gravity,2,2253,/2253/2557/,1,NULL,NULL
2558,Growth Chamber,2,2253,/2253/2558/,1,NULL,NULL
2559,Hatcher,2,2253,/2253/2559/,1,NULL,NULL
2560,Hybridization,2,2253,/2253/2560/,1,NULL,NULL
2561,Illuminated,2,2253,/2253/2561/,1,NULL,NULL
2562,Mechanical,2,2253,/2253/2562/,1,NULL,NULL
2563,Refrigerated,2,2253,/2253/2563/,1,NULL,NULL
2564,Roll-In,2,2253,/2253/2564/,1,NULL,NULL
2565,Shakers,2,2253,/2253/2565/,1,NULL,NULL
2566,Table,2,2256,/2256/2566/,1,NULL,NULL
2567,Wall Cabinets,2,2256,/2256/2567/,1,NULL,NULL
2568,Work Bench,2,2256,/2256/2568/,1,NULL,NULL
2569,Bottles,2,2257,/2257/2569/,1,NULL,NULL
2570,Bubble Meter,2,2257,/2257/2570/,1,NULL,NULL
2571,Carboy,2,2257,/2257/2571/,1,NULL,NULL
2572,Columns,2,2257,/2257/2572/,1,NULL,NULL
2573,Condensers,2,2257,/2257/2573/,1,NULL,NULL
2574,Dispensers,2,2257,/2257/2574/,1,NULL,NULL
2575,Distillation,2,2257,/2257/2575/,1,NULL,NULL
2576,Drying,2,2257,/2257/2576/,1,NULL,NULL
2577,Extractors,2,2257,/2257/2577/,1,NULL,NULL
2578,Filtration,2,2257,/2257/2578/,1,NULL,NULL
2579,Flasks,2,2257,/2257/2579/,1,NULL,NULL
2580,Funnels,2,2257,/2257/2580/,1,NULL,NULL
2581,Heat Guns,2,2257,/2257/2581/,1,NULL,NULL
2582,"Hot Plates, Stirrers",2,2257,/2257/2582/,0,NULL,NULL
2583,Manifolds,2,2257,/2257/2583/,1,NULL,NULL
2584,Mortars/Pestles,2,2257,/2257/2584/,1,NULL,NULL
2585,Pipets,2,2257,/2257/2585/,1,NULL,NULL
2586,Quartz,2,2257,/2257/2586/,1,NULL,NULL
2587,Reaction,2,2257,/2257/2587/,1,NULL,NULL
2588,Sample tubes,2,2257,/2257/2588/,1,NULL,NULL
2589,Solution Bottles,2,2257,/2257/2589/,1,NULL,NULL
2590,Stopcocks,2,2257,/2257/2590/,1,NULL,NULL
2591,Tissue Grinders,2,2257,/2257/2591/,1,NULL,NULL
2592,Vials,2,2257,/2257/2592/,1,NULL,NULL
2593,Accessories,2,2258,/2258/2593/,1,NULL,NULL
2594,Bottle Carrier,2,2258,/2258/2594/,1,NULL,NULL
2595,Burners,2,2258,/2258/2595/,1,NULL,NULL
2596,Carboy,2,2258,/2258/2596/,1,NULL,NULL
2597,Counter,2,2258,/2258/2597/,1,NULL,NULL
2598,Desiccators,2,2258,/2258/2598/,1,NULL,NULL
2599,Dewars,2,2258,/2258/2599/,1,NULL,NULL
2600,Dispensers,2,2258,/2258/2600/,1,NULL,NULL
2601,Dry Ice Maker,2,2258,/2258/2601/,1,NULL,NULL
2602,Educational,2,2258,/2258/2602/,1,NULL,NULL
2603,Filtration,2,2258,/2258/2603/,1,NULL,NULL
2604,Gas Regulators,2,2258,/2258/2604/,1,NULL,NULL
2605,Heat Lamps,2,2258,/2258/2605/,1,NULL,NULL
2606,Hot Plates ,2,2258,/2258/2606/,1,NULL,NULL
2607,Jacks/Stands,2,2258,/2258/2607/,1,NULL,NULL
2608,Lamps,2,2258,/2258/2608/,1,NULL,NULL
2609,Light Box,2,2258,/2258/2609/,1,NULL,NULL
2610,Manometers,2,2258,/2258/2610/,1,NULL,NULL
2611,Miscellaneous,2,2258,/2258/2611/,1,NULL,NULL
2612,Parraffin Bath,2,2258,/2258/2612/,1,NULL,NULL
2613,Pipette,2,2258,/2258/2613/,1,NULL,NULL
2614,Pipettes-Burettes,2,2258,/2258/2614/,1,NULL,NULL
2615,Pressure Tank,2,2258,/2258/2615/,1,NULL,NULL
2616,Reaction,2,2258,/2258/2616/,1,NULL,NULL
2617,Regulators,2,2258,/2258/2617/,1,NULL,NULL
2618,Safety,2,2258,/2258/2618/,1,NULL,NULL
2619,Shields,2,2258,/2258/2619/,1,NULL,NULL
2620,Supplies,2,2258,/2258/2620/,1,NULL,NULL
2621,Support Stands,2,2258,/2258/2621/,1,NULL,NULL
2622,Syringe,2,2258,/2258/2622/,1,NULL,NULL
2623,Timers,2,2258,/2258/2623/,1,NULL,NULL
2624,Titrators,2,2258,/2258/2624/,1,NULL,NULL
