ID,Manufacturer,Misspelling
1253,Cryofab,cryfab
1254,Cryofab ,kriofab
1255,Cryofab ,cry ofab
1256,Cryofab ,cryo fab
1257,Cryofab ,Gryofab
1258,CW Brabender,C.W.Brabender
1259,CW Brabender,C.W.Brabender
1260,CW Brabender,CW Bradender 
1261,CW Brabender,Bradender 
1262,CW Brabender,CWBrabender Instruments
1263,CW Brabender,C.W. Brabender
1264,CW Brabender,CW Bradbinder
1265,DeDietrick,DiDietrick
1266,Denton,Dentin
1267,Denver Instruments,Dener
1268,Denver Instruments,Denfer Instruments
1269,Denver Instruments,Denver Balance
1270,Despatch,Despatch
1271,Despatch,dispatch
1272,Despatch,desspatch
1273,Despatch,despath
1274,Despatch,despach
1275,Despatch,daspatch
1276,Dionex,Dinex
1277,Dionex,dionx
1278,Distek,distek
1279,Distek,disstek
1280,Distek,distec
1281,Distek,distex
